id_municipio,nome_municipio,capital,regiao_metropolitana,sigla_uf,nome_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
2105708,Lago da Pedra,0,,MA,Maranhão,13477,44375,1240,76.211,29,97.88,36.52,27,0,0,0
2101608,Barra do Corda,0,,MA,Maranhão,27087,84418,5188,7.976,29,97.92,36.3,5530,4488,0,0
2101103,Axixá,0,Região Metropolitana da Grande São Luís,MA,Maranhão,3344,11779,160,87.499,29,99.12,40.15,16,0,3587,0
2111631,São Raimundo do Doca Bezerra,0,,MA,Maranhão,1685,5650,420,77.629,29,108.87,34.1,3,0,0,0
2111672,São Roberto,0,,MA,Maranhão,1365,4531,227,74.692,29,104.78,32.25,2,0,0,0
2104206,Fortuna,0,,MA,Maranhão,5136,16971,835,79.523,29,103.11,39.46,7,0,14,0
2110039,Santa Luzia do Paruá,0,,MA,Maranhão,7134,24286,1010,83.932,29,99.65,35.36,17,0,0,0
2106706,Mirador,0,,MA,Maranhão,6233,21011,8522,76.047,29,104.63,37.32,7,0,0,0
2109452,Raposa,0,Região Metropolitana da Grande São Luís,MA,Maranhão,9508,30803,79,89.716,29,95.33,22.32,566,0,0,0
2111789,Serrano do Maranhão,0,,MA,Maranhão,3148,10201,1165,79.302,29,109.53,34.71,17,0,5686,611
2108504,Pindaré-Mirim,0,,MA,Maranhão,9431,31403,268,84.272,29,93.97,34.25,72,0,702,0
2101251,Bacabeira,0,Região Metropolitana da Grande São Luís,MA,Maranhão,5290,16956,543,8.598,29,98.48,26.98,7,0,390,40
2110237,Santana do Maranhão,0,,MA,Maranhão,2952,10547,932,71.803,29,100.93,36.3,11,0,0,0
2105401,Itapecuru Mirim,0,,MA,Maranhão,18878,60290,1481,81.986,29,95.73,30.41,49,0,14490,3746
